================================================================================
RECORD SUBMISSION: 28_DOMINO_in_6
================================================================================
Problem: 28_DOMINO_in_6
Family: dominhex (https://erich-friedman.github.io/packing/dominhex/index.html)
Inner Shape: DOMINO
Container: 6
Solver Circumradius S: 5.075988007438
Reported Metric s: 5.075988007438
Previous Friedman Benchmark: 5.140000000000
Improvement Delta: -0.064011992562 (-1.245%)

Pieces (28 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -2.699411,  -1.976305) |   253.42 deg | [(-2.893205, -0.875194), (-3.464022, -2.792006), (-2.505617, -3.077415), (-1.934799, -1.160603)]
2   | ( -1.835519,  -3.368650) |    87.30 deg | [(-1.383172, -4.391089), (-1.288977, -2.393308), (-2.287867, -2.346211), (-2.382062, -4.343991)]
3   | ( -0.824311,  -3.374008) |   267.92 deg | [(-1.287638, -2.356498), (-1.360324, -4.355176), (-0.360985, -4.391519), (-0.288299, -2.392841)]
4   | ( +0.183884,  -3.382181) |   268.38 deg | [(-0.287607, -2.368428), (-0.344224, -4.367626), (+0.655376, -4.395935), (+0.711992, -2.396736)]
5   | ( +1.187285,  -3.354771) |   268.25 deg | [(+0.718050, -2.339971), (+0.656987, -4.339039), (+1.656521, -4.369571), (+1.717584, -2.370503)]
6   | ( +2.604345,  -3.279945) |   239.97 deg | [(+2.671927, -2.163956), (+1.671003, -3.895472), (+2.536762, -4.395935), (+3.537686, -2.664418)]
7   | ( -3.386661,  -0.777280) |    72.63 deg | [(-3.207956, -1.880939), (-2.610956, +0.027880), (-3.565365, +0.326380), (-4.162366, -1.582439)]
8   | ( -1.739947,  -0.636779) |   346.77 deg | [(-2.827834, -0.894662), (-0.880910, -1.352359), (-0.652061, -0.378897), (-2.598985, +0.078801)]
9   | ( -0.984735,  -1.850428) |   358.88 deg | [(-1.994300, -2.330822), (+0.005319, -2.369844), (+0.024830, -1.370034), (-1.974789, -1.331012)]
10  | ( +0.545932,  -1.274401) |   117.18 deg | [(+1.447464, -1.935642), (+0.534007, -0.156430), (-0.355599, -0.613159), (+0.557858, -2.392371)]
11  | ( +2.528621,  -1.675754) |    27.03 deg | [(+1.865088, -2.575601), (+3.646618, -1.666673), (+3.192154, -0.775908), (+1.410624, -1.684836)]
12  | ( +3.554109,  -0.392802) |   300.50 deg | [(+2.615709, +0.214985), (+3.630919, -1.508195), (+4.492509, -1.000589), (+3.477298, +0.722590)]
13  | ( -4.063225,  +0.420175) |   250.06 deg | [(-4.192212, +1.530743), (-4.874287, -0.349356), (-3.934237, -0.690393), (-3.252163, +1.189706)]
14  | ( -2.349569,  +0.539071) |   166.48 deg | [(-1.260371, +0.791357), (-3.204916, +1.259058), (-3.438767, +0.286785), (-1.494221, -0.180915)]
15  | ( -0.506961,  +0.433224) |   297.18 deg | [(-1.408493, +1.094466), (-0.495036, -0.684746), (+0.394570, -0.228017), (-0.518887, +1.551195)]
16  | ( +1.544582,  +0.067455) |   207.03 deg | [(+2.208115, +0.967302), (+0.426585, +0.058373), (+0.881049, -0.832392), (+2.662579, +0.076537)]
17  | ( +2.022213,  -0.811491) |   207.03 deg | [(+2.685746, +0.088356), (+0.904216, -0.820572), (+1.358680, -1.711337), (+3.140210, -0.802409)]
18  | ( +4.139640,  +0.621802) |   120.00 deg | [(+5.072652, +0.005777), (+4.072652, +1.737828), (+3.206627, +1.237828), (+4.206627, -0.494223)]
19  | ( -2.823119,  +1.681487) |   166.48 deg | [(-1.733921, +1.933773), (-3.678466, +2.401474), (-3.912317, +1.429201), (-1.967771, +0.961501)]
20  | ( -1.329565,  +2.278449) |   294.77 deg | [(-2.202540, +2.976958), (-1.364587, +1.160964), (-0.456590, +1.579940), (-1.294543, +3.395934)]
21  | ( +0.526350,  +1.836506) |    24.77 deg | [(-0.172158, +0.963530), (+1.643835, +1.801485), (+1.224858, +2.709482), (-0.591136, +1.871527)]
22  | ( +0.958948,  +0.906390) |   206.26 deg | [(+1.634559, +1.797205), (-0.159069, +0.912390), (+0.283338, +0.015576), (+2.076966, +0.900391)]
23  | ( +2.553805,  +1.368548) |   120.00 deg | [(+3.486818, +0.752523), (+2.486818, +2.484574), (+1.620792, +1.984574), (+2.620792, +0.252523)]
24  | ( +3.139640,  +2.353854) |   300.00 deg | [(+2.206627, +2.969879), (+3.206627, +1.237828), (+4.072652, +1.737828), (+3.072652, +3.469879)]
25  | ( -2.607258,  +3.275966) |   240.00 deg | [(-2.540271, +4.391991), (-3.540271, +2.659940), (-2.674245, +2.159940), (-1.674245, +3.891991)]
26  | ( -0.674245,  +3.895935) |     0.00 deg | [(-1.674245, +3.395935), (+0.325755, +3.395935), (+0.325755, +4.395935), (-1.674245, +4.395935)]
27  | ( +0.108046,  +2.744814) |    24.77 deg | [(-0.590462, +1.871838), (+1.225531, +2.709793), (+0.806554, +3.617790), (-1.009440, +2.779835)]
28  | ( +1.533643,  +3.236399) |   294.70 deg | [(+0.661466, +3.935903), (+1.497345, +2.118954), (+2.405820, +2.536894), (+1.569940, +4.353843)]
================================================================================
