================================================================================
RECORD SUBMISSION: 30_DOMINO_in_5
================================================================================
Problem: 30_DOMINO_in_5
Family: dominpen (https://erich-friedman.github.io/packing/dominpen/index.html)
Inner Shape: DOMINO
Container: 5
Reported Side Length / Radius s (5 dec): 6.43183+
Exact Metric s: 6.431834494381
Previous Friedman Benchmark: 6.60518+ (exact: 6.605180000000)
Improvement Delta: -0.173345505619 (-2.624%)

Pieces (30 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -3.381669,  +2.817458) |     5.69 deg | [(-4.327162, +2.220764), (-2.337018, +2.419081), (-2.436177, +3.414153), (-4.426320, +3.215836)]
2   | ( +3.317137,  +1.263379) |   216.01 deg | [(+3.832035, +2.255790), (+2.214269, +1.079851), (+2.802238, +0.270968), (+4.420004, +1.446907)]
3   | ( +1.600818,  +0.965726) |   122.30 deg | [(+2.557793, +0.387625), (+1.489115, +2.078166), (+0.643844, +1.543827), (+1.712522, -0.146714)]
4   | ( +2.947807,  -2.622491) |    54.00 deg | [(+2.764501, -3.725396), (+3.940115, -2.107393), (+3.131114, -1.519586), (+1.955500, -3.137589)]
5   | ( -1.559569,  -2.044436) |   252.00 deg | [(-1.726085, -0.938872), (-2.344112, -2.840987), (-1.393054, -3.150000), (-0.775027, -1.247885)]
6   | ( -0.794595,  +1.899254) |    94.21 deg | [(-0.222510, +0.938671), (-0.369379, +2.933272), (-1.366679, +2.859837), (-1.219810, +0.865237)]
7   | ( +3.960760,  -0.755650) |    36.49 deg | [(+3.454139, -1.752312), (+5.062063, -0.562950), (+4.467382, +0.241012), (+2.859458, -0.948350)]
8   | ( +0.799624,  -2.176502) |    54.00 deg | [(+0.616401, -3.279421), (+1.791893, -1.661329), (+0.982847, -1.073583), (-0.192645, -2.691675)]
9   | ( +0.435638,  +2.595467) |   122.29 deg | [(+1.392566, +2.017290), (+0.324022, +3.707916), (-0.521291, +3.173644), (+0.547253, +1.483018)]
10  | ( +2.122874,  +3.757980) |   306.00 deg | [(+1.130579, +4.273103), (+2.306152, +2.655071), (+3.115168, +3.242858), (+1.939595, +4.860890)]
11  | ( -3.870787,  -1.844131) |   267.14 deg | [(-4.320333, -0.820457), (-4.419998, -2.817972), (-3.421241, -2.867805), (-3.321575, -0.870290)]
12  | ( +1.442741,  +2.992747) |   306.00 deg | [(+0.450455, +3.507886), (+1.626002, +1.889834), (+2.435027, +2.477608), (+1.259481, +4.095659)]
13  | ( +2.089130,  -0.500316) |    32.30 deg | [(+1.511050, -1.457302), (+3.201568, -0.388588), (+2.667211, +0.456671), (+0.976693, -0.612043)]
14  | ( -1.813506,  +0.790630) |   269.63 deg | [(-2.306965, +1.793874), (-2.320025, -0.206084), (-1.320046, -0.212613), (-1.306987, +1.787344)]
15  | ( +2.717928,  +2.065054) |   216.05 deg | [(+3.232130, +3.057826), (+1.615189, +1.880752), (+2.203726, +1.072282), (+3.820667, +2.249355)]
16  | ( +2.121446,  -2.058477) |   234.00 deg | [(+2.304718, -0.955566), (+1.129155, -2.573606), (+1.938175, -3.161387), (+3.113738, -1.543347)]
17  | ( +0.754143,  +0.431137) |   122.24 deg | [(+1.710533, -0.147930), (+0.643562, +1.543689), (-0.202247, +1.010203), (+0.864724, -0.681415)]
18  | ( -0.716145,  -0.215517) |    72.00 deg | [(-0.549712, -1.321094), (+0.068458, +0.580975), (-0.882577, +0.890060), (-1.500747, -1.012009)]
19  | ( +0.055139,  -1.382482) |   231.54 deg | [(+0.285639, -0.288467), (-0.958373, -1.854492), (-0.175360, -2.476498), (+1.068651, -0.910473)]
20  | ( -2.509324,  -3.313047) |   342.00 deg | [(-3.614887, -3.479568), (-1.712769, -4.097586), (-1.403760, -3.146527), (-3.305878, -2.528509)]
21  | ( -3.364750,  +0.809006) |     5.70 deg | [(-4.310142, +0.212152), (-2.320032, +0.410805), (-2.419358, +1.405860), (-4.409468, +1.207207)]
22  | ( -0.379623,  +4.005009) |    18.00 deg | [(-1.176158, +3.220450), (+0.725945, +3.838517), (+0.416911, +4.789568), (-1.485191, +4.171501)]
23  | ( -3.370036,  +1.813482) |   185.70 deg | [(-2.424627, +2.410309), (-4.414743, +2.211713), (-4.315445, +1.216655), (-2.325329, +1.415251)]
24  | ( -3.366882,  -0.196221) |     5.70 deg | [(-4.312259, -0.793099), (-2.322154, -0.594396), (-2.421505, +0.400656), (-4.411610, +0.201954)]
25  | ( -2.510637,  -1.735406) |    72.00 deg | [(-2.344115, -2.840970), (-1.726098, -0.938851), (-2.677158, -0.629843), (-3.295175, -2.531961)]
26  | ( -0.914578,  -3.295623) |   252.00 deg | [(-1.081143, -2.190066), (-1.699084, -4.092209), (-0.748013, -4.401180), (-0.130071, -2.499037)]
27  | ( +3.902991,  +0.450049) |   215.89 deg | [(+4.419983, +1.441371), (+2.799738, +0.268850), (+3.385999, -0.541273), (+5.006244, +0.631249)]
28  | ( -1.868409,  +2.863612) |    94.22 deg | [(-1.296247, +1.903075), (-1.443277, +3.897663), (-2.440571, +3.824148), (-2.293541, +1.829560)]
29  | ( +0.543793,  -4.008763) |   324.28 deg | [(-0.560012, -3.830955), (+1.063829, -4.998492), (+1.647597, -4.186572), (+0.023757, -3.019035)]
30  | ( +1.644276,  -3.566044) |   144.00 deg | [(+2.747182, -3.749342), (+1.129171, -2.573741), (+0.541370, -3.382746), (+2.159381, -4.558348)]
================================================================================
