================================================================================
RECORD SUBMISSION: 14_DOMINO_in_6
================================================================================
Problem: 14_DOMINO_in_6
Family: dominhex (https://erich-friedman.github.io/packing/dominhex/index.html)
Inner Shape: DOMINO
Container: 6
Solver Circumradius S: 3.650805162046
Reported Metric s: 3.650805162046
Previous Friedman Benchmark: 3.672300000000
Improvement Delta: -0.021494837954 (-0.585%)

Pieces (14 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -1.560078,  -2.065094) |   282.46 deg | [(-2.264112, -1.196569), (-1.832477, -3.149436), (-0.856043, -2.933618), (-1.287679, -0.980751)]
2   | ( +2.102101,  +1.682434) |   120.00 deg | [(+3.035114, +1.066409), (+2.035114, +2.798460), (+1.169088, +2.298460), (+2.169088, +0.566409)]
3   | ( -1.610656,  -0.023204) |   280.35 deg | [(-2.282231, +0.870656), (-1.922799, -1.096781), (-0.939081, -0.917065), (-1.298513, +1.050372)]
4   | ( -1.892390,  +2.045664) |   240.00 deg | [(-1.825402, +3.161690), (-2.825402, +1.429639), (-1.959377, +0.929639), (-0.959377, +2.661690)]
5   | ( +0.401525,  +0.097099) |   280.27 deg | [(-0.268824, +0.991880), (+0.087909, -0.976048), (+1.071873, -0.797682), (+0.715140, +1.170247)]
6   | ( -2.590996,  -0.221420) |   280.35 deg | [(-3.262571, +0.672441), (-2.903138, -1.294996), (-1.919420, -1.115280), (-2.278853, +0.852157)]
7   | ( +0.482413,  -2.038945) |   102.46 deg | [(+1.186448, -2.907470), (+0.754812, -0.954602), (-0.221622, -1.170420), (+0.210014, -3.123288)]
8   | ( -0.344717,  +1.532057) |     7.66 deg | [(-1.269117, +0.903181), (+0.713023, +1.169863), (+0.579682, +2.160933), (-1.402458, +1.894251)]
9   | ( +0.140830,  +2.660550) |     0.05 deg | [(-0.858731, +2.159673), (+1.141268, +2.161427), (+1.140391, +3.161427), (-0.859608, +3.159672)]
10  | ( -0.590559,  -0.036478) |   280.27 deg | [(-1.260908, +0.858303), (-0.904175, -1.109625), (+0.079789, -0.931258), (-0.276944, +1.036670)]
11  | ( +1.377078,  +0.321865) |   280.27 deg | [(+0.706729, +1.216646), (+1.063462, -0.751282), (+2.047426, -0.572916), (+1.690693, +1.395013)]
12  | ( -0.533234,  -2.077347) |   102.46 deg | [(+0.170800, -2.945872), (-0.260835, -0.993005), (-1.237269, -1.208823), (-0.805633, -3.161690)]
13  | ( +2.635110,  -0.410816) |   250.52 deg | [(+2.497166, +0.698675), (+1.830284, -1.186867), (+2.773055, -1.520308), (+3.439937, +0.365234)]
14  | ( +1.440547,  -1.740331) |   282.46 deg | [(+0.736512, -0.871806), (+1.168148, -2.824673), (+2.144581, -2.608855), (+1.712945, -0.655988)]
================================================================================
