================================================================================
RECORD SUBMISSION: 15_DOMINO_in_5
================================================================================
Problem: 15_DOMINO_in_5
Family: dominpen (https://erich-friedman.github.io/packing/dominpen/index.html)
Inner Shape: DOMINO
Container: 5
Solver Circumradius S: 3.918415325667
Reported Metric s: 4.606373481568
Previous Friedman Benchmark: 4.609720000000
Improvement Delta: -0.003346518432 (-0.073%)

Pieces (15 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -2.102635,  -1.970433) |   170.75 deg | [(-1.035269, -1.637671), (-3.009264, -1.316197), (-3.170000, -2.303195), (-1.196006, -2.624668)]
2   | ( -0.184105,  -2.747622) |   162.00 deg | [(+0.921456, -2.581083), (-0.980673, -1.963098), (-1.289665, -2.914162), (+0.612464, -3.532147)]
3   | ( +1.123329,  -2.100875) |   140.91 deg | [(+2.214755, -2.343340), (+0.662446, -1.082255), (+0.031903, -1.858409), (+1.584212, -3.119495)]
4   | ( +2.374375,  -1.184345) |   230.92 deg | [(+2.616632, -0.092873), (+1.355843, -1.645424), (+2.132119, -2.275818), (+3.392907, -0.723267)]
5   | ( -1.911480,  -0.988368) |   170.75 deg | [(-0.844110, -0.655618), (-2.818101, -0.334122), (-2.978849, -1.321117), (-1.004858, -1.642614)]
6   | ( -0.340710,  -1.099898) |    74.91 deg | [(-0.118199, -2.195567), (+0.402317, -0.264489), (-0.563222, -0.004230), (-1.083738, -1.935308)]
7   | ( +1.042080,  -0.294403) |   126.00 deg | [(+2.034366, -0.809542), (+0.858820, +0.808510), (+0.049794, +0.220736), (+1.225341, -1.397315)]
8   | ( +1.691908,  +0.512516) |   126.00 deg | [(+2.684200, -0.002612), (+1.508635, +1.615426), (+0.699616, +1.027643), (+1.875181, -0.590394)]
9   | ( -2.670037,  +0.665893) |    90.00 deg | [(-2.170019, -0.334098), (-2.170056, +1.665902), (-3.170056, +1.665884), (-3.170019, -0.334116)]
10  | ( -1.048607,  +0.363785) |   198.00 deg | [(-0.252084, +1.148356), (-2.154177, +0.530261), (-1.845130, -0.420785), (+0.056963, +0.197310)]
11  | ( +0.296154,  +2.166606) |   288.00 deg | [(-0.488407, +2.963138), (+0.129665, +1.061038), (+1.080716, +1.370074), (+0.462643, +3.272175)]
12  | ( +2.758152,  +0.746297) |   126.00 deg | [(+3.750448, +0.231176), (+2.574872, +1.849206), (+1.765857, +1.261418), (+2.941432, -0.356612)]
13  | ( -1.668249,  +1.739645) |   288.00 deg | [(-2.452821, +2.536167), (-1.834725, +0.634074), (-0.883678, +0.943122), (-1.501774, +2.845215)]
14  | ( -0.717024,  +2.048754) |   288.00 deg | [(-1.501583, +2.845289), (-0.883517, +0.943186), (+0.067535, +1.252220), (-0.550532, +3.154322)]
15  | ( +1.582572,  +2.364357) |   126.00 deg | [(+2.574867, +1.849235), (+1.399293, +3.467266), (+0.590277, +2.879479), (+1.765851, +1.261448)]
================================================================================
