================================================================================
RECORD SUBMISSION: 17_DOMINO_in_6
================================================================================
Problem: 17_DOMINO_in_6
Family: dominhex (https://erich-friedman.github.io/packing/dominhex/index.html)
Inner Shape: DOMINO
Container: 6
Solver Circumradius S: 4.002423086173
Reported Metric s: 4.002423086173
Previous Friedman Benchmark: 4.011600000000
Improvement Delta: -0.009176913827 (-0.229%)

Pieces (17 total):
#   | Center (x, y)             | Angle (deg)  | Vertices [(x,y), ...]
--------------------------------------------------------------------------------
1   | ( -2.125088,  -2.251434) |   300.00 deg | [(-3.058056, -1.635341), (-2.058182, -3.367465), (-1.192120, -2.867527), (-2.191994, -1.135404)]
2   | ( -0.334320,  -1.835610) |   188.43 deg | [(+0.581527, -1.194343), (-1.396842, -1.487692), (-1.250168, -2.476877), (+0.728202, -2.183527)]
3   | ( -0.187520,  -2.824805) |   188.43 deg | [(+0.728326, -2.183537), (-1.250043, -2.476889), (-1.103367, -3.466074), (+0.875002, -3.172721)]
4   | ( +1.262624,  -2.377642) |   278.44 deg | [(+0.621296, -1.461837), (+0.914776, -3.440187), (+1.903951, -3.293447), (+1.610472, -1.315097)]
5   | ( +2.641196,  -1.357681) |    60.00 deg | [(+2.574218, -2.473706), (+3.574203, -0.741647), (+2.708174, -0.241655), (+1.708188, -1.973714)]
6   | ( -2.355971,  -0.157492) |   239.62 deg | [(-2.281505, +0.958059), (-3.293091, -0.767250), (-2.430436, -1.273043), (-1.418850, +0.452266)]
7   | ( -1.371587,  -0.457538) |   239.56 deg | [(-1.296082, +0.657943), (-2.309275, -1.066424), (-1.447091, -1.573020), (-0.433899, +0.151347)]
8   | ( +0.244049,  +0.065925) |   237.30 deg | [(+0.363545, +1.177555), (-0.716953, -0.505456), (+0.124552, -1.045705), (+1.205050, +0.637306)]
9   | ( +1.431097,  +1.393370) |   119.98 deg | [(+2.363866, +0.776976), (+1.364551, +2.509422), (+0.498328, +2.009764), (+1.497643, +0.277318)]
10  | ( +1.765020,  -0.305570) |    37.48 deg | [(+1.275762, -1.310870), (+2.862814, -0.093796), (+2.254277, +0.699729), (+0.667226, -0.517344)]
11  | ( -3.066213,  +0.616017) |   239.84 deg | [(-2.996129, +1.731852), (-4.000931, +0.002583), (-3.136297, -0.499818), (-2.131494, +1.229451)]
12  | ( -1.349931,  +1.571186) |    59.61 deg | [(-1.424436, +0.455637), (-0.412788, +2.180911), (-1.275425, +2.686734), (-2.287073, +0.961461)]
13  | ( -0.364437,  +1.270773) |    59.55 deg | [(-0.440118, +0.155303), (+0.573348, +1.879509), (-0.288756, +2.386242), (-1.302221, +0.662036)]
14  | ( +2.033848,  +2.350145) |   300.00 deg | [(+1.100882, +2.966241), (+2.100751, +1.234114), (+2.966814, +1.734049), (+1.966945, +3.466175)]
15  | ( +3.059631,  +0.632805) |   300.00 deg | [(+2.126625, +1.248841), (+3.126605, -0.483221), (+3.992636, +0.016769), (+2.992656, +1.748831)]
16  | ( -2.059909,  +2.349753) |   239.90 deg | [(-1.991067, +3.465666), (-2.993945, +1.735279), (-2.128751, +1.233840), (-1.125874, +2.964227)]
17  | ( +0.100838,  +2.966108) |   180.00 deg | [(+1.100865, +3.466054), (-0.899135, +3.466162), (-0.899189, +2.466162), (+1.100811, +2.466054)]
================================================================================
